contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN240705P00200000,AMZN,2024-07-05,200.00,put,1.50,1.51,1.50,1,1.52,1,12461,2391,2024-07-02,0.21480,-0.48714,0.10238,-0.89197,0.07230,-0.00813
AMZN240705C00202500,AMZN,2024-07-05,202.50,call,0.73,0.76,0.73,3,0.78,5,37057,12283,2024-07-02,0.23370,0.28943,0.08071,-0.91201,0.06201,0.00470
AMZN240705P00202500,AMZN,2024-07-05,202.50,put,3.20,2.96,2.82,54,3.10,1,380,335,2024-07-02,0.19864,-0.74424,0.08929,-0.62374,0.05831,-0.01248
AMZN240705C00205000,AMZN,2024-07-05,205.00,call,0.30,0.31,0.30,10,0.32,88,28914,13257,2024-07-02,0.24406,0.13894,0.05004,-0.61075,0.04015,0.00226
AMZN240705P00205000,AMZN,2024-07-05,205.00,put,5.30,5.20,4.95,51,5.45,71,376,367,2024-07-02,0.23903,-0.86615,0.04980,-0.47399,0.03914,-0.01467
AMZN240705C00207500,AMZN,2024-07-05,207.50,call,0.13,0.12,0.12,261,0.13,1,8184,17513,2024-07-02,0.25672,0.06041,0.02573,-0.34551,0.02172,0.00098
AMZN240705P00207500,AMZN,2024-07-05,207.50,put,7.45,7.55,6.80,162,8.30,172,15,60,2024-07-02,0.26586,-0.93282,0.02698,-0.27799,0.02359,-0.01595
AMZN240705C00210000,AMZN,2024-07-05,210.00,call,0.06,0.07,0.06,105,0.07,184,10591,12771,2024-07-02,0.29025,0.03405,0.01435,-0.24545,0.01370,0.00055
AMZN240705P00210000,AMZN,2024-07-05,210.00,put,10.25,9.95,9.75,53,10.15,16,470,1038,2024-07-02,0.26662,-0.97661,0.01143,-0.05314,0.01002,-0.01687
AMZN240705C00212500,AMZN,2024-07-05,212.50,call,0.03,0.04,0.03,224,0.04,248,1234,4562,2024-07-02,0.31830,0.01917,0.00809,-0.16599,0.00847,0.00031
AMZN240705P00212500,AMZN,2024-07-05,212.50,put,13.09,12.62,11.85,162,13.40,172,3,5,2024-07-02,0.43004,-0.93628,0.01601,-0.48568,0.02264,-0.01643
AMZN240705C00215000,AMZN,2024-07-05,215.00,call,0.03,0.03,0.02,20,0.03,28,610,4917,2024-07-02,0.35565,0.01344,0.00534,-0.13656,0.00625,0.00022
AMZN240705P00215000,AMZN,2024-07-05,215.00,put,15.00,15.07,14.45,130,15.70,167,2,7,2024-07-02,0.46860,-0.95262,0.01163,-0.40108,0.01791,-0.01690
AMZN240705C00217500,AMZN,2024-07-05,217.50,call,0.01,0.02,0.01,118,0.03,15,689,3874,2024-07-02,0.38415,0.00869,0.00338,-0.10081,0.00427,0.00014
AMZN240705P00217500,AMZN,2024-07-05,217.50,put,0.00,17.10,16.50,154,17.70,15,0,11,2024-07-02,0.35109,-1.00000,0.00000,0.11588,0.00000,-0.01787
AMZN240705C00220000,AMZN,2024-07-05,220.00,call,0.01,0.01,0.00,0,0.01,1,1383,4152,2024-07-02,0.39757,0.00447,0.00182,-0.05788,0.00237,0.00007
AMZN240705P00220000,AMZN,2024-07-05,220.00,put,23.20,19.67,19.15,150,20.20,21,43,44,2024-07-02,0.40125,-1.00000,0.00000,0.11721,0.00000,-0.01807
